iters:14150, batch:0, loss:0.000652574 
iters:14200, batch:0, loss:0.000652047 
iters:14250, batch:0, loss:0.000651521 
iters:14300, batch:0, loss:0.000650996 
iters:14350, batch:0, loss:0.000650471 
iters:14400, batch:0, loss:0.000649948 
iters:14450, batch:0, loss:0.000649424 
iters:14500, batch:0, loss:0.000648902 
iters:14550, batch:0, loss:0.00064838 
iters:14600, batch:0, loss:0.000647859 
iters:14650, batch:0, loss:0.000647339 
iters:14700, batch:0, loss:0.000646819 
iters:14750, batch:0, loss:0.000646301 
iters:14800, batch:0, loss:0.000645783 
iters:14850, batch:0, loss:0.000645266 
iters:14900, batch:0, loss:0.00064475 
iters:14950, batch:0, loss:0.000644235 
iters:15000, batch:0, loss:0.00064372 
iters:15050, batch:0, loss:0.000643206 
iters:15100, batch:0, loss:0.000642692 
iters:15150, batch:0, loss:0.000642179 
iters:15200, batch:0, loss:0.000641667 
iters:15250, batch:0, loss:0.000641156 
iters:15300, batch:0, loss:0.000640646 
iters:15350, batch:0, loss:0.000640136 
iters:15400, batch:0, loss:0.000639628 
iters:15450, batch:0, loss:0.00063912 
iters:15500, batch:0, loss:0.000638613 
iters:15550, batch:0, loss:0.000638108 
iters:15600, batch:0, loss:0.000637602 
iters:15650, batch:0, loss:0.000637097 
iters:15700, batch:0, loss:0.000636593 
iters:15750, batch:0, loss:0.000636091 
iters:15800, batch:0, loss:0.000635589 
iters:15850, batch:0, loss:0.000635089 
iters:15900, batch:0, loss:0.00063459 
iters:15950, batch:0, loss:0.000634092 
iters:16000, batch:0, loss:0.000633595 
iters:16050, batch:0, loss:0.000633098 
iters:16100, batch:0, loss:0.000632603 
iters:16150, batch:0, loss:0.000632108 
iters:16200, batch:0, loss:0.000631614 
iters:16250, batch:0, loss:0.000631121 
iters:16300, batch:0, loss:0.000630629 
iters:16350, batch:0, loss:0.000630138 
iters:16400, batch:0, loss:0.000629647 
iters:16450, batch:0, loss:0.000629158 
iters:16500, batch:0, loss:0.000628669 
iters:16550, batch:0, loss:0.000628181 
iters:16600, batch:0, loss:0.000627694 
iters:16650, batch:0, loss:0.000627208 
iters:16700, batch:0, loss:0.000626722 
iters:16750, batch:0, loss:0.000626239 
iters:16800, batch:0, loss:0.000625755 
iters:16850, batch:0, loss:0.000625273 
iters:16900, batch:0, loss:0.000624791 
iters:16950, batch:0, loss:0.000624309 
iters:17000, batch:0, loss:0.000623829 
iters:17050, batch:0, loss:0.00062335 
iters:17100, batch:0, loss:0.000622872 
iters:17150, batch:0, loss:0.000622396 
iters:17200, batch:0, loss:0.00062192 
iters:17250, batch:0, loss:0.000621445 
